SubCategoryCode,CODE,SHORT DESCRIPTION (VALID ICD-10 FY2024),LONG DESCRIPTION (VALID ICD-10 FY2024)
F88,F88,Other disorders of psychological development,Other disorders of psychological development
F89,F89,Unspecified disorder of psychological development,Unspecified disorder of psychological development
F90,F900,"Attn-defct hyperactivity disorder, predom inattentive type","Attention-deficit hyperactivity disorder, predominantly inattentive type"
F90,F901,"Attn-defct hyperactivity disorder, predom hyperactive type","Attention-deficit hyperactivity disorder, predominantly hyperactive type"
F90,F902,"Attention-deficit hyperactivity disorder, combined type","Attention-deficit hyperactivity disorder, combined type"
F90,F908,"Attention-deficit hyperactivity disorder, other type","Attention-deficit hyperactivity disorder, other type"
F90,F909,"Attention-deficit hyperactivity disorder, unspecified type","Attention-deficit hyperactivity disorder, unspecified type"
F91,F910,Conduct disorder confined to family context,Conduct disorder confined to family context
F91,F911,"Conduct disorder, childhood-onset type","Conduct disorder, childhood-onset type"
F91,F912,"Conduct disorder, adolescent-onset type","Conduct disorder, adolescent-onset type"
F91,F913,Oppositional defiant disorder,Oppositional defiant disorder
F91,F918,Other conduct disorders,Other conduct disorders
F91,F919,"Conduct disorder, unspecified","Conduct disorder, unspecified"
F93,F930,Separation anxiety disorder of childhood,Separation anxiety disorder of childhood
F93,F938,Other childhood emotional disorders,Other childhood emotional disorders
F93,F939,"Childhood emotional disorder, unspecified","Childhood emotional disorder, unspecified"
F94,F940,Selective mutism,Selective mutism
F94,F941,Reactive attachment disorder of childhood,Reactive attachment disorder of childhood
F94,F942,Disinhibited attachment disorder of childhood,Disinhibited attachment disorder of childhood
F94,F948,Other childhood disorders of social functioning,Other childhood disorders of social functioning
F94,F949,"Childhood disorder of social functioning, unspecified","Childhood disorder of social functioning, unspecified"
F95,F950,Transient tic disorder,Transient tic disorder
F95,F951,Chronic motor or vocal tic disorder,Chronic motor or vocal tic disorder
F95,F952,Tourette's disorder,Tourette's disorder
F95,F958,Other tic disorders,Other tic disorders
F95,F959,"Tic disorder, unspecified","Tic disorder, unspecified"
F98,F980,Enuresis not due to a substance or known physiol condition,Enuresis not due to a substance or known physiological condition
F98,F981,Encopresis not due to a substance or known physiol condition,Encopresis not due to a substance or known physiological condition
F98,F9821,Rumination disorder of infancy,Rumination disorder of infancy
F98,F9829,Other feeding disorders of infancy and early childhood,Other feeding disorders of infancy and early childhood
F98,F983,Pica of infancy and childhood,Pica of infancy and childhood
F98,F984,Stereotyped movement disorders,Stereotyped movement disorders
F98,F985,Adult onset fluency disorder,Adult onset fluency disorder
F98,F988,Oth behav/emotn disord w onset usly occur in chldhd and adol,Other specified behavioral and emotional disorders with onset usually occurring in childhood and adolescence
F98,F989,Unsp behav/emotn disord w onst usly occur in chldhd and adol,Unspecified behavioral and emotional disorders with onset usually occurring in childhood and adolescence
F99,F99,"Mental disorder, not otherwise specified","Mental disorder, not otherwise specified                                                                                                                                                                                                                        "
,,,
,,,
,,,
,,,
,,,
,,,
